"sim","pos_mean","sd","bias","lower_ci","upper_ci"
1,-0.111790118836163,0.0710757265903522,0.0347094811638369,-0.228794223655492,0.0188739654236553
2,0.170209043647066,0.26838143707249,0.316708643647066,-0.360200823461201,0.455773679298919
3,-0.117631286184159,0.0568651157569805,0.0288683138158407,-0.236485041655794,-0.00198763235461033
4,-0.0965455129931578,0.0382888490562502,0.0499540870068423,-0.157524000927823,0.00381975430315752
5,-0.179607104120868,0.0355095643945751,-0.0331075041208675,-0.25211049566951,-0.109282395760315
6,-0.260206580721822,0.331775138959253,-0.113706980721822,-0.525205775803424,0.439432854253988
7,-0.186696469297815,0.0521674812776055,-0.0401968692978149,-0.305043946981082,-0.0598325585220063
8,-0.129668386140821,0.148447759377307,0.0168312138591787,-0.339858062171749,0.170141584245792
9,-0.0796231575112745,0.123016274636249,0.0668764424887255,-0.296485902767457,0.141974050339506
10,-0.134911254609422,0.0292503419526592,0.0115883453905782,-0.196232667704997,-0.0797450883647455
11,-0.140337710364187,0.0290709569353917,0.00616188963581346,-0.200200873605805,-0.0874734122260668
12,-0.0187117253496025,0.158749360545813,0.127787874650397,-0.272381811833053,0.315702797173607
13,-0.149324779084554,0.0285692214461564,-0.00282517908455412,-0.21201069049327,-0.0958973517457256
14,-0.136421301112127,0.0376813715266105,0.0100782988878732,-0.213106491282003,-0.0655660779998651
15,-0.180512586322779,0.0354746993300541,-0.0340129863227791,-0.25585645584717,-0.121779597399234
16,-0.162848477856136,0.0245218242883706,-0.016348877856136,-0.210190259798488,-0.114449470027513
17,-0.041165378376422,0.0764943133542897,0.105334221623578,-0.159868896072908,0.162383273135172
18,-0.131439395691257,0.0265886202351019,0.015060204308743,-0.184419129201239,-0.081964279536137
19,-0.00201168964678413,0.0200290849872046,0.144487910353216,-0.0409683532623435,0.0380193879632487
20,-0.289507179257411,0.16850476801548,-0.143007579257411,-0.485446854459997,0.178254028754887
